id,year,month,geoid,cii.indoor.demand,cii.indoor.total_use,cii.total_use,indoor.demand,outdoor.demand
197,2014,3,60375711021,348836.28,348836.28,348836.28,1.1627876e+06,863565.8
198,2014,3,60375711022,386547.88,386547.88,386547.88,1.2884929e+06,967935.44
199,2014,3,60375711023,358965.2,358965.2,358965.2,1.1965506e+06,1.4410424e+06
200,2014,3,60375711024,264517.72,264517.72,264517.72,881725.75,1.3880629e+06
201,2014,3,60375711025,314889.6,314889.6,314889.6,1.049632e+06,764494.1
202,2014,3,60375713001,559949.8,559949.8,559949.8,1.8664994e+06,2.1016968e+06
203,2014,3,60375713002,419342.7,419342.7,419342.7,1.397809e+06,5.2004675e+06
204,2014,3,60375713003,624700,624700,624700,2.0823332e+06,2.3983818e+06
205,2014,3,60375713004,310564.22,310564.22,310564.22,1.03521406e+06,826480.2
206,2014,3,60375714001,529215.1,529215.1,529215.1,1.7640504e+06,1.2593226e+06
207,2014,3,60375714002,266978.88,266978.88,266978.88,889929.56,798930.8
208,2014,3,60375714003,279789.94,279789.94,279789.94,932633.1,2.7824832e+06
209,2014,3,60375714004,562082.3,562082.3,562082.3,1.8736078e+06,1.39548e+06
210,2014,3,60375714005,450036.75,450036.75,450036.75,1.5001225e+06,1.0638284e+06
211,2014,3,60375715031,944788.5,944788.5,944788.5,3.149295e+06,875751.1
212,2014,3,60375715042,555707.1,555707.1,555707.1,1.8523571e+06,139336.08
213,2014,3,60375719003,626217.9,626217.9,626217.9,2.0873929e+06,30728.11
214,2014,4,60375550011,452577.7,452577.7,452577.7,1.5085922e+06,2.7908942e+06
215,2014,4,60375550012,264463.28,264463.28,264463.28,881544.3,684498.06
216,2014,4,60375550013,469788.56,469788.56,469788.56,1.5659619e+06,1.3219008e+06
217,2014,4,60375550014,928414.75,928414.75,928414.75,3.094716e+06,1.9122078e+06
218,2014,4,60375550021,525238.4,525238.4,525238.4,1.7507946e+06,1.5709264e+06
219,2014,4,60375550022,889404.4,889404.4,889404.4,2.9646812e+06,2.7928298e+06
220,2014,4,60375551021,1.5189262e+06,1.5189262e+06,1.5189262e+06,5.0630875e+06,3.2218508e+06
221,2014,4,60375551022,927700.06,927700.06,927700.06,3.0923335e+06,938685
222,2014,4,60375551031,1.0206065e+06,1.0206065e+06,1.0206065e+06,3.4020215e+06,2.3444542e+06
223,2014,4,60375551032,838645.4,838645.4,838645.4,2.7954848e+06,2.248973e+06
224,2014,4,60375551041,995624.56,995624.56,995624.56,3.3187488e+06,2.4709028e+06
225,2014,4,60375700011,489893.06,489893.06,489893.06,1.6329769e+06,3.0457262e+06
226,2014,4,60375700012,324053.78,324053.78,324053.78,1.0801792e+06,841268.25
227,2014,4,60375700013,584639.3,584639.3,584639.3,1.9487978e+06,2.637995e+06
228,2014,4,60375700014,438272.84,438272.84,438272.84,1.4609095e+06,1.5412498e+06
229,2014,4,60375700021,375376.94,375376.94,375376.94,1.2512565e+06,1.6528596e+06
230,2014,4,60375700022,297011.25,297011.25,297011.25,990037.5,1.0690041e+06
231,2014,4,60375700023,438958.4,438958.4,438958.4,1.4631948e+06,1.8251131e+06
232,2014,4,60375700031,414374.06,414374.06,414374.06,1.3812469e+06,1.958658e+06
